id,sentence,e1_pos,e2_pos,relation,label
1,the system as described above has its greatest application in an arrayed configuration of antenna elements,12,15,"Component-Whole(e2,e1)",12
2,the child was carefully wrapped and bound into the cradle by means of a cord,1,9,Other,0
3,the author of a keygen uses a disassembler to look at the raw assembly code,1,7,"Instrument-Agency(e2,e1)",6
4,a misty ridge uprises from the surge,2,6,Other,0
5,the student association is the voice of the undergraduate student population of the state university of new york at buffalo,1,2,"Member-Collection(e1,e2)",15
6,this is the sprawling complex that is peru 's largest producer of silver,4,10,Other,0
7,the current view is that the chronic inflammation in the distal part of the stomach caused by helicobacter pylori infection results in an increased acid production from the non infected upper corpus region of the stomach,7,19,"Cause-Effect(e2,e1)",10
8,people have been moving back into downtown,0,6,"Entity-Destination(e1,e2)",7
9,the lawsonite was contained in a platinum crucible and the counter weight was a plastic crucible with metal pieces,1,6,"Content-Container(e1,e2)",17
10,the solute was placed inside a beaker and 5 ml of the solvent was pipetted into a 25 ml glass flask for each trial,12,20,"Entity-Destination(e1,e2)",7
11,the fifty essays collected in this volume testify to most of the prominent themes from professor quispel 's scholarly career,2,6,"Member-Collection(e1,e2)",15
12,their composer has sunk into oblivion,1,5,Other,0
13,the pulitzer committee issues an official citation explaining the reasons for the award,6,9,"Message-Topic(e1,e2)",1
14,the burst has been caused by water hammer pressure,1,8,"Cause-Effect(e2,e1)",10
15,even commercial networks have moved into high definition broadcast,2,6,"Instrument-Agency(e2,e1)",6
16,it was a friendly call to remind them about the bill and make sure they have a copy of the invoice,4,10,"Message-Topic(e1,e2)",1
17,"texas born virtuoso finds harmony , sophistication in appalachian instrument",1,8,"Instrument-Agency(e2,e1)",6
18,"the factory 's products have included flower pots , finnish rooster whistles , pans , trays , tea pots , ash trays and air moisturisers",1,14,"Product-Producer(e2,e1)",4
19,the girl showed a photo of apple tree blossom on a fruit tree in the central valley,7,8,"Component-Whole(e2,e1)",12
20,"they tried an assault of their own an hour later , with two columns of sixteen tanks backed by a battalion of panzer grenadiers",20,23,"Member-Collection(e2,e1)",16
21,"their knowledge of the power and rank symbols of the continental empires was gained from the numerous germanic recruits in the roman army , and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces",1,18,"Entity-Origin(e1,e2)",13
22,she soon had a stable of her own rescued hounds,4,9,"Member-Collection(e2,e1)",16
23,"the singer , who performed three of the nominated songs , also caused a commotion on the red carpet",1,14,"Cause-Effect(e1,e2)",9
24,his intellectually engaging books and essays remain pertinent to illuminating contemporary history,5,11,Other,0
25,"poor hygiene controls , reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption",7,10,"Member-Collection(e2,e1)",16
26,"this sweet dress is made with a blend of cotton and silk , and the crochet flower necklace is the perfect accessory",2,7,Other,0
27,"suicide is one of the leading causes of death among pre adolescents and teens , and victims of bullying are at an increased risk for committing suicide",0,8,"Cause-Effect(e1,e2)",9
28,"this article gives details on 2004 in music in the united kingdom , including the official charts from that year",1,7,"Message-Topic(e1,e2)",1
29,we have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history,12,16,"Message-Topic(e1,e2)",1
30,the timer of the device automatically eliminates wasted `` standby power '' consumption by automatically turn off electronics plugged into the `` auto off '' outlets,1,4,"Component-Whole(e1,e2)",11
31,bob parks made a similar offer in a phone call made earlier this week,5,8,"Message-Topic(e2,e1)",2
32,he had chest pains and headaches from mold in the bedrooms,5,7,"Cause-Effect(e2,e1)",10
33,the silver haired author was not just laying india 's politician saint to rest but healing a generations old rift in the family of the country 's founding father,23,26,"Product-Producer(e1,e2)",3
34,it describes a method for loading a horizontal stack of containers into a carton,8,13,"Entity-Destination(e1,e2)",7
35,the foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond,16,19,"Component-Whole(e1,e2)",11
